Source Image: dupickens_c-1_051.jpg
Transcription Date: 2025-09-25 11:31:17
============================================================

30

contained in the said written correspondence that then and in that case it shall
or may be lawful to and for the said Tho. Boyce his Executors administrators & assigns
Attornies or agents from time to time & at any time hereafter peaceably & quietly to enter
into the possession of and to hold and to use and to hire out & otherwise dispose of the
same to take of the said Negroes into his custody possession & the same to hold use
detain to his own use & dispose of his own property from henceforth forever or the same
to dispose of at his will & pleasure returning the overplus beyond the satisfying the
aforesaid debt & interest & charges if any such there duly shall happen to be
after appropriating such sum or sums necessary therefore to the said
T. Boyce such sum or sums may be misapplied or not in every respect aforesaid prejudiced
and it is further covenanted & agreed that the one half of the aforesaid sum of 20,000
dollars shall be refunded to the said Th. Boyce so soon as the lands which may be
purchased for the firm shall have been divided with interest on the said one half
at the rate of seven per Cent per annum to be paid annually from the 1st November
1834 in testimony whereof the parties aforesaid have set their hands & affixed their seals
to these presents this second day of December A.D. 1834 & in the 59 year of the sovereignty
& independence of the United States of America
Signed sealed & delivered in the presence of
Thos. J. Chappell Thos. J. Chappell
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S. P. Colhoun S. P. Colhoun
S
