Source Image: dupickens_g-1_300DPI_383.jpg
Transcription Date: 2026-02-27 16:29:20

Quality Analysis:
----------------------------------------
Image DPI: 642.1
Review Flags:
- Missing expected elements: County
- Found 2 repeated text blocks

============================================================

mentions and that he, H. Fitzgallts was with himself a subscribing witness to the same
Sworn to and subscribed before me this 17th day of December 1853.
H. H. Reid
J. P. Ex. Off. C. P. & G. S.

Deed of Gift
State of South Carolina Know all men by these presents that I, Mary
Pickens District McWhorter of the District and State aforesaid for and in consideration of the natural love and affection
I bear to my daughter, Mary Melitta Hoyes wife of Henry Hoyes Jr. and for her more
attention do give and bequeath unto by these presents do give and bequeath unto my said
daughter Mary Melitta Hoyes one negro boy by the name of George aged
four years on the 10th day of March last 1853 with
further increase to have and to hold the said the said boy and further increase
to her and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and in case of her decease her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
exonerate and discharge my said daughter Mary Melitta Hoyes and her heirs forever. And do
