Source Image: dupickens_c-1_049.jpg
Transcription Date: 2026-02-26 16:27:53

Quality Analysis:
----------------------------------------
Image DPI: 750.5
Review Flags:
- Missing expected elements: County
- Found 2 repeated text blocks

============================================================

Peterson by Deeds letters on the 20th day of Nov 1826 & refers to said Deed for
boundaries both of which were given to me by said John Peterson on the 5th day of
Jany 1830 I I have and to hold all and singular the said primises into said
William Peterson with their privileges & needs belonging to hereby bind myself
my heirs Executors and Administrators to warrant and forever defend all and
said William Peterson his heirs and assigns forever against myself and my
heirs in testimony whereof I have hereunto set my hand and seal this tenth day
of October 1834 Signed Sealed and delivered in presence of
Wm. C. Sloan  L. Keith
South Carolina:  Before me personally appeared William C. Sloan Esq. and
Pickens District  made oath that he saw Capt. Ocain Sloan sign seal and deliver
the within deed of Conveyance to William Peterson for the use and purposes within men-
tioned and William L. Keith with himself witness the due Execution of the same
Sworn to 1st Octr 1834
Before William L. Keith C.C.  Wm. C. Sloan
Recorded the 6th day of December 1834 and Examined by me
William L. Keith C.C. P.M.C.

This Indenture made between John C.
Calhoun of the one part and Ker Boyce of the other part
witnesseth that whereas for himself of a
certain place of land situate in the
District of Pickens and State aforesaid on
the waters of Tugaloo River containing
one hundred and seventy two acres more or less
and whereas the said John C.
Calhoun has agreed to sell and convey the said
land to the said Ker Boyce for the purchase of bonds and
securities to the amount of twenty thousand dollars in the
aggregate. The said John C. Calhoun has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
to the said Ker Boyce has advanced
