Source Image: dupickens_g-1_300DPI_281.jpg
Transcription Date: 2026-02-27 16:15:18

Quality Analysis:
----------------------------------------
Image DPI: 648.1
Review Flags:
- Missing expected elements: South Carolina, State of South Carolina, County, sworn, witness

============================================================

```
278

do give grant bargain sell release and convey unto him the said J. L. Brooks a certain tract or
parcel of land situated on Saluda River in Pickens District containing four hundred and
fifty acres to the same more or less and bounded as follows viz Beginning at the mouth of
daddy creek thence up the meanders of the creek to Shiley corner 18 thence south with Shiley
to a white oak on the creek thence up the meanders of said creek to the mouth of branch
thence south 80. 30 to a hickory thence on same course 35. 50 to a red oak 12. 24 to a branch thence
down said branch to where Shiley's line crosses thence with Shiley's line to the beginning corner
of the said Shiley corner 38. 50 to a black thence S. 81. E. 40. 00 to chestnut at the creek thence S. 20.
E. 20. 00 to a pine thence S. 45. 00 to 125. 00 to a pine thence N. 10. 00 to a pine thence S. 20. 00 to a
white oak thence down said branch to poplar thence to a stone 16. 63. 30 to a stake 20.
thence on the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
mentioned from the river thence down said branch to the beginning corner and to the line above
