Source Image: dupickens_e-1_275.jpg
Transcription Date: 2025-10-23 16:32:05

Quality Analysis:
----------------------------------------
Image DPI: 629.3
Review Flags:
- Missing expected elements: County, witness
- Found 2 repeated text blocks

============================================================

So. Carolina  } Personally appeared before me
Anderson District } Thos R. Cherry and made oath that
he did see Willis Robinson sign seal as his act
& deliver the within Mortgage to Francis Burt for
the purposes therein mentioned
Sworn before me this Thos R. Cherry
27th April 1845
Edward Haleston N.P. & Q.
Recorded this day of 1845 & Examined by me

Release for 100 Acres Land
State of South Carolina }
Greenville District } Know all men by these
presents that John T.
Gossett of the District of Pickens in the State aforesaid
for and in consideration of the sum of one hundred and seventy five
Dollars, to me in hand paid by Thomas H. Cox of the District of Greenville
in the State aforesaid, the receipt and payment of which I hereby acknow-
ledge, have granted bargained sold and released and by these presents do
grant bargain sell and release unto the said Thomas H. Cox his heirs and
assigns forever. All that piece parcel or tract of land, situate in Pickens
District in the State aforesaid, on the West side of and lying on Saluda River
adjoining lands of Frederick Gossett, Solomon Heads and myself
bounding and butting as follows Beginning at a maple on the River & run-
ning thence N. 35 E. 11.80 to a dead Post oak, thence N. 73 W. 10.50 to a pine
on the side of a hill, thence N. 40 W. 2.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
on an old road, thence N. 27 W. 8.00 to a black oak, thence N. 48 E. 5.50 to a pine
