Source Image: dupickens_g-1_300DPI_187.jpg
Transcription Date: 2026-02-27 16:02:10

Quality Analysis:
----------------------------------------
Image DPI: 659.5
Review Flags:
- Missing expected elements: County, sworn, witness

============================================================

Aaron Boggs  
to  
J. Power  

Release for 125 Acres Land  
State of South Carolina } Know all men by  
Pickens District } these presents that  

Aaron Boggs of Anderson District in the state  
aforesaid in consideration of the sum of one hundred and twenty  
five 125/100 Dollars to him paid by Zachariah Power of state and  
District aforesaid have granted bargained sold and released and by  
these presents do grant bargain sell and release unto the said Zachariah  
Power all that piece parcel and tract of land situate in the state of  
State and District aforesaid on waters of Twelve Mile  
River containing 125 acres more or less bounded on the  
by James Johnson a part of Calhouns land running thence  
S 52 W 11 ch to a Beach + 11 ch to a W Oak thence S 20 W 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
B O 10 ch to a poplar N 11 W 11 ch to a W O thence N 20 E 11 ch to a  
