Source Image: dupickens_g-1_300DPI_444.jpg
Transcription Date: 2026-02-27 16:32:57

Quality Analysis:
----------------------------------------
Image DPI: 677.3
Review Flags:
- Text length (20417) exceeds maximum (20000)
- Missing expected elements: South Carolina, State of South Carolina, sworn, witness

============================================================

Page 487

natural love and affection which I have for my said young daughter and also in consideration
of the sum of one dollar to me in hand paid by David Gavin of the county of the said
State of Georgia I have sold signed transferred and set over and by these presents do sign
transfer and set over unto the said David Gavin and to his executors administrators
and assigns forever the said negro girl Charlotte and all her increase from the date
said David Gavin and to his executors administrators and assigns from and after his taking
my said young daughter into his care and custody and also I do hereby declare that the said
use and benefit of the said Charlotte and her increase is only during the widowhood
of my said young daughter at the time of her marriage and the settling of her
present husband or any future husband I give share and give the said my said
young daughter and the said Charlotte and her increase to be equally divided among
him and my said daughter the estate living at the time of her death to each of her children
an equal share thereof in interest therein and to the lawful issue of any deceased child
the share or interest which his or her parent of parents would have taken if living
And in case the said Peter shall die without leaving issue her surviving then after the
paying of my said daughter the sum of by the said David Gavin out of said
Charlotte and the said issue of the said Charlotte and her issue shall be equally divided
between my three daughters heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
Robert and their lawful heirs that is to say her brothers William and Robert Gavin and
